"","left","right","censored"
"501",4,10,1
"502",10,17,0
"503",3,9,1
"504",9,16,0
"505",3,9,1
"506",9,16,1
"507",16,22,0
"508",17,23,1
"509",23,30,1
"510",30,33,1
"511",11,17,1
"512",17,24,1
"513",24,30,0
"514",15,22,1
"515",22,28,1
"516",28,35,1
"517",5,12,1
"518",12,18,1
"519",18,25,1
"520",25,31,1
"521",31,32,1
"522",6,13,1
"523",13,19,1
"524",19,26,1
"525",26,32,1
"526",11,18,0
"527",24,30,1
"528",30,32,1
"529",2,9,0
"530",7,13,1
"531",13,20,1
"532",20,27,1
"533",27,33,0
"534",12,19,0
"535",8,15,1
"536",15,22,0
"537",3,10,1
"538",10,17,1
"539",17,24,1
"540",24,26,1
"541",7,14,0
"542",7,15,1
"543",15,21,1
"544",21,28,0
"545",9,16,1
"546",16,23,1
"547",23,29,0
"548",13,19,1
"549",19,26,1
"550",26,32,1
"551",32,33,1
"552",18,25,0
"553",8,15,1
"554",15,22,1
"555",22,28,1
"556",28,32,1
"557",28,34,1
"558",10,17,1
"559",17,24,1
"560",24,30,1
"561",30,33,1
"562",22,29,1
"563",29,34,1
"564",15,21,1
"565",21,28,1
"566",28,31,1
"567",2,9,0
"568",3,10,0
"569",10,17,1
"570",17,24,1
"571",24,30,0
"572",11,17,1
"573",17,24,1
"574",24,33,1
"575",33,34,1
"576",8,15,1
"577",15,21,0
"578",7,13,0
"579",5,11,0
"580",9,16,0
"581",8,14,1
"582",14,20,1
"583",20,30,1
"584",30,31,1
"585",6,12,1
"586",12,18,1
"587",18,25,1
"588",25,28,1
"589",28,29,1
"590",21,28,1
"591",28,33,1
"592",28,35,1
"593",10,17,1
"594",17,26,0
"595",9,15,1
"596",15,24,1
"597",24,31,0
"598",7,13,0
